WindowSize,BatchSize,clFFT (ns),cuFFT (ns),OCCA (ns)
64,615627,180032,229888,6112
64,618752,181856,230144,6208
64,621877,182528,236384,6496
64,625002,179200,233120,5408
64,628127,182112,235200,5216
64,631252,184832,234464,5664
64,634377,185024,235392,7456
64,637502,185056,233952,5952
64,640627,189632,234080,6304
64,643752,187840,236448,5952
64,646877,187840,239648,7040
64,650002,191200,237792,7360
64,653127,189248,239456,6912
64,656252,197600,241856,6400
64,659377,192960,242240,9504
64,662502,195808,243744,7520
64,665627,195168,244512,6720
64,668752,197056,246176,5952
64,671877,195072,254592,11648
64,675002,196384,251456,6720
64,678127,197152,247648,6720
64,681252,198656,249184,5888
64,684377,198112,252512,5888
64,687502,198656,252384,5664
64,690627,200576,252256,5760
64,693752,202688,252896,6752
64,696877,209536,254880,8928
64,700002,209376,255295,5888
64,703127,202912,255968,6272
64,706252,205536,263936,5888
64,709377,204960,258816,5472
64,712502,205984,261568,5856
64,715627,207200,261280,6016
64,718752,208768,265216,5152
64,721877,209504,262656,6336
64,725002,209568,263520,5632
64,728127,208480,266112,5536
64,731252,212928,267648,6784
64,734377,213440,266976,5760
64,737502,211264,268416,5888
64,740627,213536,269760,6272
64,743752,222688,271392,9408
64,746877,220160,271360,7328
64,750002,216160,272192,5216
64,753127,218464,274432,5408
64,756252,219232,275552,5088
64,759377,220064,276512,5504
64,762502,219008,278368,6656
64,765627,219008,277312,7712
64,768752,220576,284736,6304
64,771877,221664,278720,6912
64,775002,225344,279872,7040
64,778127,222944,284224,5888
64,781252,224000,283136,5760
64,784377,222880,282400,6688
64,787502,224896,286656,7296
64,790627,226624,286624,6624
64,793752,228096,286880,6912
64,796877,236064,289408,8864
64,800002,230208,291232,6528
64,803127,229664,289248,6752
64,806252,229376,291040,6176
64,809377,234560,293920,6400
64,812502,232544,295712,6784
64,815627,232128,299520,5888
64,818752,236256,294464,7200
64,821877,236640,302912,6848
64,825002,235776,298752,6848
64,828127,235776,299808,7040
64,831252,235936,302272,7104
64,834377,244544,302784,5504
64,837502,238784,302656,11840
64,840627,240768,304352,6624
64,843752,239840,304832,12928
64,846877,241472,306592,6464
64,850002,244160,307072,5376
64,853127,243968,308352,8031
64,856252,243552,310304,5536
64,859377,242560,310176,5632
64,862502,243712,313152,5888
64,865627,246144,312256,6144
64,868752,247840,313216,6048
64,871877,248448,314048,6240
64,875002,248992,315360,5376
64,878127,247680,314528,7168
64,881252,252224,316288,6624
64,884377,253728,317664,6528
64,887502,259904,321376,6240
64,890627,253216,322528,6016
64,893752,255328,321856,8320
64,896877,254880,322592,10400
64,900002,255616,323200,6080
64,903127,258176,324064,7136
64,906252,254720,324960,6816
64,909377,258016,327552,6528
64,912502,257216,327168,5920
64,915627,258592,328640,10880
64,918752,263232,332160,7360
64,921877,262528,332544,6720
64,925002,261760,334912,6848
64,928127,263040,333440,6464
64,931252,265664,335136,7744
64,934377,265792,336320,6368
64,937502,271424,336384,6656
64,940627,268192,336960,6464
64,943752,267584,342624,7424
64,946877,268352,338272,6528
64,950002,271936,341024,8031
64,953127,270144,340800,6816
64,956252,270144,341536,8832
64,959377,271104,343008,5664
64,962502,272896,344096,6144
64,965627,274208,345600,6304
64,968752,279424,347392,5280
64,971877,275104,347936,5824
64,975002,274016,353728,5472
64,978127,275968,349696,5888
64,981252,277568,352704,5792
64,984377,276000,352032,7008
64,987502,275584,353280,5184
64,990627,280544,352672,6336
64,993752,288704,356384,6080
64,996877,278464,362432,6624
64,1000002,283808,356768,5504
64,1003127,284416,357984,6624
64,1006252,287008,358112,6176
64,1009377,283424,361760,5408
64,1012502,284064,360384,5280
64,1015627,287232,362240,6656
64,1018752,287776,364064,5728
64,1021877,286304,365248,6400
64,1025002,289728,368672,6400
64,1028127,292800,365984,12768
64,1031252,288864,368928,5888
64,1034377,294144,368864,6528
64,1037502,290752,369376,6688
64,1040627,293600,371936,6240
64,1043752,290336,372288,5536
64,1046877,300000,372160,9216
64,1050002,296064,376032,6784
64,1053127,297504,374304,6112
64,1056252,296320,377536,6368
64,1059377,296480,376928,6080
64,1062502,298368,381056,6464
64,1065627,297728,392288,9984
64,1068752,302464,380896,5728
64,1071877,301600,382848,6144
64,1075002,300896,382432,6048
64,1078127,302528,384832,6944
64,1081252,302976,384928,7232
64,1084377,304064,392416,6144
64,1087502,304448,390976,5984
64,1090627,302368,388896,6368
64,1093752,307008,389312,6464
64,1096877,315232,393184,6080
64,1100002,309696,394080,6048
64,1103127,310240,393376,6208
64,1106252,307552,393344,5600
64,1109377,311392,396768,6080
64,1112502,312256,397344,5728
64,1115627,312672,396672,5856
64,1118752,311680,397472,6368
64,1121877,316384,398304,5632
64,1125002,312608,401312,4704
64,1128127,313632,401664,6144
64,1131252,319552,404096,5472
64,1134377,315968,402752,5952
64,1137502,316256,406784,5280
64,1140627,317472,409472,6400
64,1143752,320352,406976,6176
64,1146877,324896,413024,6144
64,1150002,321504,409760,5760
64,1153127,320928,412960,5888
64,1156252,322656,410432,5216
64,1159377,325344,411872,6528
64,1162502,324768,412224,5152
64,1165627,326016,414144,6912
64,1168752,323040,414976,5792
64,1171877,325280,417344,7040
64,1175002,327552,417920,6432
64,1178127,336064,418848,7552
64,1181252,328768,419616,5920
64,1184377,333152,427040,6624
64,1187502,327392,423840,6400
64,1190627,334528,422304,6848
64,1193752,330208,422816,6592
64,1196877,343232,426752,7008
64,1200002,332384,426144,7456
64,1203127,331328,427776,6816
